Number,GivenName,Surname,Birthday,StreetAddress,NameSet,EmailAddress,TelephoneNumber,Kilograms,CCType,CCNumber,CVV2,CCExpires,Vehicle
402,Delit,Dostie,6/18/1972,"66 rue Pierre De Coubertin",French,DelitDostie@cuvox.de,05.84.66.57.64,75.2,MasterCard,5366726332374161,999,11/2020,"2014 Jeep Compass"
407,Katharina,Kortig,11/4/1953,"Lietzensee-Ufer 42",German,KatharinaKortig@fleckens.hu,"03501 68 30 64",78.2,Visa,4556737695625266,853,3/2020,"2001 Chrysler Concorde"
406,Brie,L'Heureux,12/5/1970,"83 rue des six frères Ruellan",French,BrieLHeureux@rhyta.com,04.00.29.86.57,51.5,Visa,4716751907662030,130,5/2018,"2011 Chevrolet Express"
410,Diana,Seiler,9/21/1995,"An der Schillingbrucke 65",German,DianaSeiler@einrot.com,"07361 19 07 61",47.4,MasterCard,5235126867646548,063,11/2019,"1999 Nissan President"
410,Monique,Michaud,6/21/1940,"15 rue de la Hulotais",French,MoniqueMichaud@jourrapide.com,04.15.76.22.91,65.4,Visa,4532785425750093,210,5/2021,"2001 Lexus IS"
411,Thomas,Weiss,12/20/1930,"Knesebeckstrasse 31",German,ThomasWeiss@rhyta.com,"02686 50 85 87",81.7,Visa,4929666208725042,507,4/2020,"2011 Volvo V50"
411,Alexis,Dastous,7/12/1981,"48 Rue du Limas",French,AlexisDastous@jourrapide.com,05.55.74.14.63,109.1,Visa,4929173726059699,982,1/2020,"2004 Fiat Siena"
412,Jonas,Meier,6/6/1976,"Messedamm 72",German,JonasMeier@rhyta.com,"0345 53 27 51",64.0,MasterCard,5480012336853521,665,4/2020,"1999 Rover 200"
413,Donat,Vallée,7/5/1939,"53 rue Sébastopol",French,DonatVallee@cuvox.de,04.93.50.30.09,102.3,Visa,4916960555908607,379,3/2019,"2015 Mercedes-Benz C-Class"
418,Ralf,Gaertner,8/6/1961,"Schönhauser Allee 39",German,RalfGaertner@einrot.com,"07642 41 50 02",66.1,MasterCard,5483979351924873,838,9/2021,"2011 BMW 123"
414,Jolie,Lacasse,3/17/1998,"82 rue du Président Roosevelt",French,JolieLacasse@rhyta.com,03.55.10.57.09,45.6,MasterCard,5552111004949463,682,2/2019,"2008 Opel Frontera"
419,Mike,Bohm,10/13/1937,"Schoenebergerstrasse 96",German,MikeBohm@armyspy.com,"03765 56 64 68",79.2,MasterCard,5286759201830101,082,11/2020,"2014 MINI Cooper Coupe"
423,Agrican,Tachel,9/23/1936,"40 Rue Frédéric Chopin",French,AgricanTachel@cuvox.de,04.53.91.69.81,69.8,MasterCard,5297928215287718,892,5/2021,"2000 Rolls-Royce Silver Seraph"
425,Uwe,Busch,9/28/1991,"Ansbacher Strasse 82",German,UweBusch@gustr.com,"06536 57 21 70",64.6,MasterCard,5200311222049643,945,1/2018,"2000 Jeep Cherokee"
427,Emmeline,Bellefeuille,4/28/1966,"58 Avenue Millies Lacroix",French,EmmelineBellefeuille@gustr.com,01.08.17.77.48,96.8,Visa,4916946575924088,408,4/2018,"2007 Chevrolet Evanda"
427,Swen,Kirsch,1/18/1959,"Esplanade 11",German,SwenKirsch@superrito.com,"09383 91 63 57",99.4,MasterCard,5490746743785317,514,9/2018,"2002 Honda Step Wagon"
428,Quennel,Ruest,11/6/1988,"79 Rue Marie De Médicis",French,QuennelRuest@fleckens.hu,03.75.78.07.56,94.4,Visa,4929198807614534,297,3/2018,"1992 Ford Sierra"
429,Kristin,Faerber,9/7/1940,"Lietzensee-Ufer 43",German,KristinFaerber@fleckens.hu,"03574 55 86 25",56.5,MasterCard,5283441377372431,662,11/2019,"2006 Fiat Multipla"
429,Roland,Beauchamps,9/14/1982,"41 Quai des Belges",French,RolandBeauchamps@armyspy.com,04.84.69.09.37,88.7,MasterCard,5379423886213681,630,3/2021,"2002 Saturn L"
430,Marina,Eisenhower,5/19/1949,"Güntzelstrasse 14",German,MarinaEisenhower@dayrep.com,"06509 12 24 31",94.4,MasterCard,5234742756693929,040,5/2019,"2015 Audi RS 5"
435,Pénélope,Franchet,6/23/1951,"11 avenue du Marechal Juin",French,PenelopeFranchet@gustr.com,02.90.57.03.83,59.7,MasterCard,5464523453603374,428,1/2018,"2000 Hyundai Satellite"
431,Simone,Schmitz,9/1/1989,"Pasewalker Straße 89",German,SimoneSchmitz@dayrep.com,"07231 51 76 45",57.1,MasterCard,5209912775214152,509,6/2018,"2011 Chrysler Town & Country"
437,Dominic,Nadeau,12/8/1933,"45 avenue de Bouvines",French,DominicNadeau@gustr.com,04.25.38.84.19,62.2,MasterCard,5168183196025770,903,10/2021,"2012 Audi A7"
435,Mandy,Kluge,3/23/1945,"Kastanienallee 9",German,MandyKluge@einrot.com,"04950 99 34 89",50.0,MasterCard,5518821586788476,107,9/2019,"2008 Dodge Sprinter"
438,Legget,Duranseau,10/22/1953,"69 rue Marguerite",French,LeggetDuranseau@rhyta.com,01.12.25.30.56,101.2,Visa,4539248287863259,487,8/2018,"2015 Lincoln MKC"
440,Jan,Ebersbacher,2/20/1990,"Oldesloer Strasse 30",German,JanEbersbacher@teleworm.us,"036702 99 13",88.0,MasterCard,5104539120109682,257,3/2018,"2011 Mini Cooper Clubman"
440,Serge,Senneville,6/5/1946,"59 rue Petite Fusterie",French,SergeSenneville@cuvox.de,04.05.83.45.96,100.9,MasterCard,5466076477973339,839,11/2018,"2004 BMW 120"
441,Jessica,Freitag,3/8/1990,"Mellingburgredder 98",German,JessicaFreitag@einrot.com,"09123 92 30 61",90.4,MasterCard,5303271906731773,555,11/2021,"1995 BMW Z3"
444,Agate,David,9/16/1974,"57 rue du Fossé des Tanneurs",French,AgateDavid@einrot.com,04.23.07.90.04,75.1,Visa,4916639920397585,479,9/2019,"2003 Renault Scenic II"
444,Anna,Baumgaertner,2/17/1940,"Storkower Strasse 5",German,AnnaBaumgaertner@fleckens.hu,"02633 47 67 45",64.4,Visa,4929957163138655,428,5/2021,"1999 Toyota Yaris"
446,Charlotte,Pouchard,8/31/1995,"44 Chemin des Bateliers",French,CharlottePouchard@superrito.com,04.34.09.83.56,50.1,MasterCard,5142004720512755,049,11/2018,"1994 Mercury Tracer"
448,Katharina,Achen,4/17/1959,"Kantstraße 3",German,KatharinaAchen@gustr.com,"03693 78 37 95",96.5,Visa,4716433909479222,823,5/2020,"1992 Volvo 850"
449,Pénélope,Lespérance,12/8/1988,"61 rue Grande Fusterie",French,PenelopeLesperance@fleckens.hu,02.38.41.72.03,64.8,MasterCard,5405460541812141,478,4/2020,"2009 Honda Ridgeline"
449,Katrin,Lang,11/14/1951,"Schönwalder Allee 43",German,KatrinLang@armyspy.com,"04364 81 68 45",63.9,MasterCard,5424241997372435,618,1/2017,"2010 Kia Cadenza"
450,Alacoque,Hétu,12/16/1980,"86 rue Michel Ange",French,AlacoqueHetu@dayrep.com,02.88.72.22.37,97.5,Visa,4916770647878480,495,4/2017,"2007 Volvo C70"
452,Stefanie,Feierabend,12/4/1961,"Lietzenburger Straße 73",German,StefanieFeierabend@jourrapide.com,"05840 67 38 42",61.5,MasterCard,5481132381215266,312,12/2021,"2005 Samsung SM3"
456,Stéphane,Crête,2/6/1939,"92 Avenue De Marlioz",French,StephaneCrete@cuvox.de,01.48.63.99.19,76.4,Visa,4485741323140827,153,1/2018,"1992 Mazda MX-3"
453,Johanna,Lehmann,11/17/1991,"Ufnau Strasse 61",German,JohannaLehmann@superrito.com,"08340 51 72 64",98.8,MasterCard,5446646689399468,750,8/2017,"2005 Suzuki Baleno"
457,Ermengardi,Drouin,4/7/1933,"35 Rue de Verdun",French,ErmengardiDrouin@teleworm.us,01.14.81.09.11,72.9,Visa,4556164339150512,881,11/2020,"2001 Ford Think Neighbor"
460,Benjamin,Bar,11/5/1992,"Guentzelstrasse 93",German,BenjaminBar@rhyta.com,"06625 19 39 20",90.0,Visa,4532997233855382,262,11/2018,"2003 Honda NSX"
459,Hélène,Breton,12/31/1967,"49 rue de la Mare aux Carats",French,HeleneBreton@dayrep.com,01.64.55.69.57,93.8,Visa,4929968808215584,799,7/2020,"2015 Mazda Mazda5"
461,Michael,Klug,7/28/1954,"Koepenicker Str. 5",German,MichaelKlug@rhyta.com,"06772 73 48 71",93.4,Visa,4716987117723028,069,5/2019,"2005 Avanti Sport Convertible"
466,Vaden,Phaneuf,12/21/1941,"96 Rue du Palais",French,VadenPhaneuf@teleworm.us,03.93.71.58.73,96.7,Visa,4539494187356420,339,4/2018,"2008 Citroen Multispace"
465,Vanessa,Neudorf,11/23/1946,"Kirchenallee 75",German,VanessaNeudorf@dayrep.com,"09932 37 73 84",70.4,Visa,4532585792965799,889,11/2018,"2011 Dodge Grand Caravan"
468,Marmion,Aubé,1/22/1973,"99 rue Bonneterie",French,MarmionAube@einrot.com,05.37.57.57.35,65.8,MasterCard,5401990563512983,253,12/2019,"2009 Pagani Zonda"
468,Christin,Fassbinder,8/7/1943,"Brandenburgische Str 19",German,ChristinFassbinder@teleworm.us,"06752 15 08 29",66.8,MasterCard,5335755880906015,816,8/2017,"2011 Subaru Outback Sport"
471,Matilda,Charlesbois,3/22/1991,"52 avenue Voltaire",French,MatildaCharlesbois@cuvox.de,03.68.86.59.38,86.1,MasterCard,5458426218833195,793,1/2018,"1997 Mazda Xedos 9"
474,Claudia,Krueger,3/23/1996,"Amsinckstrasse 32",German,ClaudiaKrueger@fleckens.hu,"035751 99 61",82.4,Visa,4485091613737605,994,2/2021,"2007 Bentley Arnage"
473,Agate,Croquetaigne,3/19/1942,"53 Chemin des Bateliers",French,AgateCroquetaigne@superrito.com,04.98.09.71.72,81.3,MasterCard,5179694307962054,531,8/2019,"2004 Mazda B3000"
475,Ute,Seiler,11/14/1932,"Karl-Liebknecht-Strasse 86",German,UteSeiler@dayrep.com,"04244 97 05 52",85.6,MasterCard,5323605279759497,026,5/2021,"2015 Chevrolet Spark"
474,Prunella,Bellemare,8/10/1938,"94 rue de l'Aigle",French,PrunellaBellemare@jourrapide.com,02.08.63.08.06,97.0,Visa,4556364106807399,481,5/2017,"2004 Isuzu Rodeo"
476,Daniela,Zimmermann,9/18/1930,"Fischerinsel 79",German,DanielaZimmermann@fleckens.hu,"02151 65 28 12",87.9,Visa,4556431433481733,547,2/2018,"2005 BMW 535"
479,Royale,Berthiaume,10/13/1987,"26 avenue de l'Amandier",French,RoyaleBerthiaume@einrot.com,05.99.06.66.38,59.6,Visa,4539464813788981,431,11/2021,"1994 Oldsmobile Eighty-Eight"
478,Anne,Fried,3/8/1982,"Landhausstraße 90",German,AnneFried@dayrep.com,"03301 96 23 55",93.6,Visa,4539696529265230,307,4/2017,"2001 Ford Explorer"
481,Melusina,Beaupré,8/12/1962,"5 boulevard de la Liberation",French,MelusinaBeaupre@einrot.com,04.38.78.06.89,93.5,Visa,4539948070929114,283,6/2018,"2002 Proton 400"
480,Christina,Reiniger,10/14/1983,"Eichendorffstr. 64",German,ChristinaReiniger@gustr.com,"07457 57 71 16",64.9,MasterCard,5519497528188411,102,5/2021,"2006 Alpina Roadster"
484,Fealty,Gauthier,6/10/1997,"21 rue Lenotre",French,FealtyGauthier@rhyta.com,01.92.50.46.61,85.9,Visa,4532934262657223,629,12/2017,"2015 Ford Transit Van"
482,Lukas,Grunewald,11/6/1962,"Park Str. 58",German,LukasGrunewald@cuvox.de,"0211 64 32 74",73.9,Visa,4556800178760974,999,12/2019,"2009 Daihatsu Charade"
485,Marthe,Labrosse,6/29/1989,"32 rue des Lacs",French,MartheLabrosse@rhyta.com,02.42.90.49.11,54.4,Visa,4916932486280174,545,10/2018,"2006 Scion xB"
484,Jessica,Bach,5/5/1944,"Prager Str 77",German,JessicaBach@gustr.com,"08141 91 04 49",49.8,Visa,4716475424778901,518,9/2019,"2002 Hummer H2"
486,Olivie,Clément,10/20/1947,"82 rue Cazade",French,OlivieClement@cuvox.de,03.70.68.81.73,64.7,Visa,4929556728951782,910,8/2017,"2004 Peugeot Partner"
485,Laura,Freytag,10/13/1932,"Rohrdamm 15",German,LauraFreytag@teleworm.us,"05208 96 59 43",87.6,MasterCard,5223448907882246,898,9/2019,"2005 Peugeot 407"
489,Laetitia,Rochefort,5/3/1935,"91 Chemin des Bateliers",French,LaetitiaRochefort@fleckens.hu,04.37.61.33.28,75.6,Visa,4485644896153260,174,11/2018,"2003 Lancia Thesis"
488,Marko,Hahn,7/25/1992,"Alsterkrugchaussee 10",German,MarkoHahn@teleworm.us,"09122 76 54 67",89.8,MasterCard,5214779808696736,507,8/2018,"2004 Acura TSX"
493,Fanchon,Bonneville,11/8/1959,"16 Rue du Limas",French,FanchonBonneville@teleworm.us,05.28.56.63.79,67.8,MasterCard,5385767525838650,901,11/2021,"2007 Buick Terraza"
489,Thorsten,Drescher,12/20/1989,"Bissingzeile 78",German,ThorstenDrescher@teleworm.us,"04775 78 84 08",88.5,Visa,4916898259502484,767,11/2021,"2001 Mazda Demio"
504,Victoire,CinqMars,4/1/1971,"57 rue de Penthièvre",French,VictoireCinqMars@armyspy.com,03.27.53.09.53,96.8,Visa,4716410992305399,176,8/2020,"2003 Mazda Tribute"
494,Sara,Mayer,5/20/1976,"Augsburger Straße 80",German,SaraMayer@cuvox.de,"02302 95 13 65",60.3,MasterCard,5486920066876856,327,1/2019,"2003 Proton Saloon"
505,Armina,Tougas,8/6/1995,"30 rue Beauvau",French,ArminaTougas@fleckens.hu,04.31.12.98.92,69.9,MasterCard,5464428848065844,104,3/2019,"1993 TVR Cerbera"
495,Mike,Oster,3/3/1983,"Schönhauser Allee 54",German,MikeOster@dayrep.com,"07720 13 47 54",81.6,Visa,4716493043961980,272,7/2017,"2007 Citroen Berlingo"
507,Xavier,Dufresne,4/8/1959,"86 rue Banaudon",French,XavierDufresne@rhyta.com,04.40.57.45.52,90.6,MasterCard,5288303527519045,391,6/2021,"2005 Nissan Platina"
497,Sara,Eichelberger,5/10/1958,"Sömmeringstr. 89",German,SaraEichelberger@rhyta.com,"07231 32 94 50",92.1,MasterCard,5409257940600291,304,10/2018,"2000 Mercury Mountaineer"
511,Gallia,Allain,7/4/1943,"54 rue Petite Fusterie",French,GalliaAllain@armyspy.com,04.72.66.27.88,54.1,Visa,4556515714592083,161,3/2020,"2006 Alfa Romeo 156"
502,Paul,Gerber,8/14/1981,"Koepenicker Str. 59",German,PaulGerber@cuvox.de,"06772 72 79 12",87.2,MasterCard,5370755074539024,449,3/2020,"1995 Maserati Shamal"
517,Octave,Chrétien,2/19/1977,"11 boulevard de Prague",French,OctaveChretien@jourrapide.com,01.53.25.56.87,110.7,MasterCard,5449395208230872,895,7/2019,"1993 Nissan 200 SX Silvia"
503,Manuela,Maurer,1/19/1965,"Straße der Pariser Kommune 79",German,ManuelaMaurer@superrito.com,"0251 60 95 03",77.7,Visa,4532827223627428,374,3/2017,"2006 Mercedes-Benz CL"
518,Gallia,Lang,8/22/1946,"68 rue Pierre De Coubertin",French,GalliaLang@superrito.com,05.19.15.11.35,76.9,MasterCard,5442601407921949,592,2/2017,"2001 Ford Mustang"
505,Mandy,Schultz,5/11/1956,"Nuernbergerstrasse 95",German,MandySchultz@fleckens.hu,"04531 81 91 24",51.4,MasterCard,5203588104419443,991,2/2018,"1997 Morgan 4"
520,France,Landry,10/9/1950,"6 Rue du Limas",French,FranceLandry@superrito.com,04.16.07.04.60,87.3,MasterCard,5308010526693301,212,1/2019,"2015 Audi SQ5"
507,Dieter,Gloeckner,7/31/1989,"Inge Beisheim Platz 85",German,DieterGloeckner@superrito.com,"04131 10 72 42",64.6,Visa,4532508232185471,686,11/2020,"2008 Buick Enclave"
525,Ansel,Chartré,1/30/1939,"26 rue des Coudriers",French,AnselChartre@armyspy.com,02.94.36.56.39,98.1,Visa,4916054186580678,687,7/2018,"2014 Nissan Juke"
514,Dieter,Müller,1/5/1983,"Pasewalker Straße 67",German,DieterMuller@einrot.com,"07231 26 06 87",68.7,MasterCard,5334161042327029,074,8/2018,"2009 Alfa Romeo 8C Competizione"
531,Sabine,Létourneau,9/14/1952,"98 rue des Nations Unies",French,SabineLetourneau@rhyta.com,02.73.25.54.06,92.9,Visa,4716588100065698,340,1/2019,"1997 Chrysler Phaeton"
518,Stephanie,Nussbaum,1/16/1990,"Pohlstrasse 15",German,StephanieNussbaum@einrot.com,"05374 17 77 26",46.7,MasterCard,5514308590179599,739,10/2018,"2012 Acura TSX"
535,Natalie,Lachapelle,5/8/1959,"82 rue Goya",French,NatalieLachapelle@fleckens.hu,01.97.04.34.74,71.3,Visa,4716227826025419,752,12/2017,"1997 Honda CRX"
520,Michael,Keller,2/23/1994,"Gotzkowskystraße 95",German,MichaelKeller@armyspy.com,"02745 49 75 08",72.8,Visa,4485094247516742,426,12/2017,"1995 Nissan Cima"
536,Etoile,Desroches,10/6/1947,"13 rue Saint Germain",French,EtoileDesroches@superrito.com,01.08.34.48.64,88.9,MasterCard,5439472106487367,909,4/2019,"1999 Chrysler 300"
525,Tobias,Gloeckner,1/16/1974,"Lietzensee-Ufer 64",German,TobiasGloeckner@teleworm.us,"03501 35 01 99",107.7,MasterCard,5384566194743915,701,4/2021,"2014 Toyota Venza"
539,Aubin,Croteau,8/6/1995,"1 Place Charles de Gaulle",French,AubinCroteau@fleckens.hu,03.78.41.09.19,75.9,MasterCard,5399330867839424,459,2/2019,"2003 Fiat Barchetta"
526,Christine,Gaertner,2/22/1950,"Paderborner Strasse 41",German,ChristineGaertner@cuvox.de,"08230 90 81 54",58.0,Visa,4556567167728888,522,6/2017,"1992 Mercedes-Benz S"
540,Raoul,Tremblay,10/24/1966,"12 rue La Boétie",French,RaoulTremblay@jourrapide.com,01.96.28.14.48,106.2,MasterCard,5172136969452351,534,12/2017,"2007 Mazda RX-8"
527,Gabriele,Wurfel,5/24/1962,"Gotzkowskystrasse 18",German,GabrieleWurfel@cuvox.de,"02680 95 71 85",74.0,Visa,4716925640596362,669,8/2021,"2012 Mitsubishi Pajero"
543,Christiane,Fortier,7/31/1932,"56 Faubourg Saint Honoré",French,ChristianeFortier@dayrep.com,01.88.22.26.85,92.4,Visa,4556512895168791,474,10/2019,"2011 Citroen C3"
528,Torsten,König,10/26/1972,"Schönwalder Allee 33",German,TorstenKonig@superrito.com,"04331 29 29 86",82.4,Visa,4929157563013117,195,12/2017,"2009 Nissan Pathfinder"
544,Claude,Doyon,10/30/1993,"49 rue Saint Germain",French,ClaudeDoyon@cuvox.de,01.17.93.73.92,72.4,MasterCard,5428721731109728,845,6/2021,"1992 Pontiac Trans Sport"
529,Jana,Shuster,7/11/1977,"Gotzkowskystraße 22",German,JanaShuster@rhyta.com,"02836 85 73 01",98.5,Visa,4929355314853464,795,4/2018,"2007 Subaru Outback Sport"
545,Gaetan,Martineau,2/8/1934,"39 Chemin Du Lavarin Sud",French,GaetanMartineau@superrito.com,05.28.23.06.71,60.7,Visa,4716966500741862,419,1/2017,"2000 Nissan Primera"
530,Manuela,Schweizer,11/22/1992,"Alt-Moabit 27",German,ManuelaSchweizer@fleckens.hu,"03423 32 63 94",53.4,MasterCard,5275526859667751,564,1/2017,"2006 Toyota Sequoia"
548,Slainie,Lacombe,5/3/1947,"24 boulevard Aristide Briand",French,SlainieLacombe@cuvox.de,02.20.74.14.68,74.2,MasterCard,5347250060714302,009,2/2017,"2009 Mazda CX-9"
532,Stephan,Schwarz,4/13/1955,"Landhausstraße 93",German,StephanSchwarz@jourrapide.com,"03344 61 56 59",83.4,MasterCard,5164416295419237,569,5/2019,"2011 Renault Latitude"
550,Blondelle,Hétu,12/11/1962,"96 rue Clement Marot",French,BlondelleHetu@cuvox.de,05.70.38.09.30,94.8,Visa,4532351942006186,803,4/2020,"1997 Hyundai Coupe"
535,Juliane,Kalb,2/13/1992,"Fontenay 92",German,JulianeKalb@teleworm.us,"09232 72 75 62",97.9,Visa,4916236584169077,732,11/2018,"2010 Koenigsegg CCX"
551,Valérie,Gour,3/28/1944,"49 boulevard d'Alsace",French,ValerieGour@rhyta.com,01.91.84.21.65,74.7,MasterCard,5503501220887010,815,12/2019,"2015 Nissan 370Z"
536,Maria,Meister,4/18/1983,"Bleibtreustrasse 27",German,MariaMeister@cuvox.de,"05241 97 63 92",80.0,MasterCard,5271917364039087,683,8/2020,"2004 Alfa Romeo Spider"
553,Gradasso,Cailot,9/30/1936,"8 rue des Chaligny",French,GradassoCailot@armyspy.com,04.68.02.45.24,68.1,Visa,4556903162799469,030,2/2018,"2006 Nissan Primera"
542,Daniel,Schiffer,1/19/1995,"Schaarsteinweg 55",German,DanielSchiffer@teleworm.us,"09434 11 60 18",64.1,MasterCard,5198556118990680,163,4/2018,"2011 Kia Optima"
556,Pryor,Dastous,1/5/1968,"78 Avenue des Pr'es",French,PryorDastous@teleworm.us,04.24.11.83.57,64.5,Visa,4929311327094869,691,12/2017,"1995 Volvo 460"
544,Heike,Ritter,5/1/1986,"Park Str. 67",German,HeikeRitter@jourrapide.com,"0212 81 87 50",87.6,MasterCard,5223124713665311,110,6/2020,"1998 Panoz Q9"
559,Annette,Jodion,6/15/1983,"39 Square de la Couronne",French,AnnetteJodion@superrito.com,01.12.34.85.65,51.3,Visa,4716626986253663,160,2/2021,"2008 Mazda 2"
546,Anke,Sanger,7/4/1981,"Luckenwalder Strasse 31",German,AnkeSanger@jourrapide.com,"05031 49 14 83",76.9,Visa,4716502640016855,448,2/2017,"1998 Samsung SM5"
562,Travers,Metivier,1/22/1976,"59 quai Saint-Nicolas",French,TraversMetivier@gustr.com,05.41.78.29.61,107.9,MasterCard,5259297260499008,115,7/2018,"2014 Ford Taurus"
547,Karin,Gersten,10/26/1946,"Frankfurter Allee 92",German,KarinGersten@jourrapide.com,"0721 40 39 27",56.5,Visa,4556826809403270,254,11/2017,"2010 Lexus ES"
564,Aurélie,Cloutier,10/4/1957,"81 avenue Jean Portalis",French,AurelieCloutier@superrito.com,02.30.17.24.18,86.8,Visa,4556898277536972,909,3/2018,"2006 Honda Civic"
551,Bernd,Shuster,5/8/1980,"Knesebeckstraße 98",German,BerndShuster@rhyta.com,"02421 77 73 54",67.7,Visa,4929472194977097,500,9/2019,"2011 Audi S6"
567,Joanna,Landry,5/10/1969,"10 rue de la République",French,JoannaLandry@rhyta.com,03.03.25.93.22,94.4,MasterCard,5366664332419886,512,6/2021,"2002 Tata Indigo"
553,Monika,Ehrlichmann,3/26/1983,"Lietzenburger Strasse 33",German,MonikaEhrlichmann@gustr.com,"02206 76 70 16",93.2,MasterCard,5528025146661854,956,7/2020,"2003 Ferrari Maranello"
571,Danielle,Sanschagrin,8/2/1982,"53 rue La Boétie",French,DanielleSanschagrin@gustr.com,01.36.87.74.26,67.8,MasterCard,5567495012895880,861,4/2020,"1995 Saturn SC"
554,Sarah,Gottlieb,12/26/1947,"Schönwalder Allee 99",German,SarahGottlieb@einrot.com,"04365 85 82 59",53.2,MasterCard,5118227234651203,406,5/2021,"2001 Ginetta G34"
573,Eliot,Marceau,10/7/1992,"5 rue Saint Germain",French,EliotMarceau@fleckens.hu,01.07.44.65.67,92.2,Visa,4929714180343515,727,12/2021,"2009 Renault Twingo"
555,Janina,Metzger,5/21/1984,"Grosse Praesidenten Str. 36",German,JaninaMetzger@dayrep.com,"06307 45 58 21",53.0,Visa,4532683354919716,162,6/2018,"2004 Acura MDX"
575,Felicienne,LaGarde,4/11/1940,"79 rue Petite Fusterie",French,FelicienneLaGarde@rhyta.com,04.82.21.79.54,61.1,Visa,4556183996040022,044,5/2019,"2012 Daewoo Rezzo"
556,Anke,Bumgarner,2/19/1989,"Rudolstaedter Strasse 36",German,AnkeBumgarner@teleworm.us,"05971 45 64 43",77.2,Visa,4929347989158451,279,3/2017,"2003 Hyundai Terracan"
579,Marguerite,Cousteau,9/9/1964,"87 avenue de Provence",French,MargueriteCousteau@gustr.com,04.52.49.68.54,82.8,MasterCard,5167717112986788,621,2/2019,"2009 Land Rover Discovery"
559,Johanna,Hofmann,6/26/1959,"Invalidenstrasse 81",German,JohannaHofmann@gustr.com,"06337 60 38 19",74.1,MasterCard,5359593837991983,536,10/2021,"2007 Saturn Aura"
580,Daisi,Moïse,10/23/1971,"23 rue Jean-Monnet",French,DaisiMoise@teleworm.us,01.40.89.44.70,64.6,Visa,4539484208639722,963,8/2021,"2008 Seat Ibiza"
562,Paul,Unger,4/22/1960,"Spresstrasse 47",German,PaulUnger@dayrep.com,"0471 92 44 30",110.3,MasterCard,5333787079995402,721,4/2018,"2007 Lancia Lybra"
581,Vedette,Gousse,9/2/1979,"13 rue du Faubourg National",French,VedetteGousse@dayrep.com,01.25.91.30.10,74.2,MasterCard,5312370673569769,374,1/2018,"2011 Nissan Maxima"
571,Jürgen,Bürger,6/10/1936,"Gruenauer Strasse 25",German,JurgenBurger@rhyta.com,"04173 28 97 60",95.8,Visa,4532747804652589,688,10/2019,"2002 Alpina B3"
582,Damiane,Carignan,3/28/1956,"62 rue Pierre De Coubertin",French,DamianeCarignan@superrito.com,05.95.22.35.85,93.0,MasterCard,5592184402707439,335,3/2020,"1992 Acura NSX"
572,Steffen,Pfeffer,1/4/1983,"Brandenburgische Str 67",German,SteffenPfeffer@armyspy.com,"06736 92 75 43",88.1,Visa,4716135254623243,771,2/2017,"2014 Scion xB"
587,Zdenek,Rouleau,9/16/1958,"52 Rue Hubert de Lisle",French,ZdenekRouleau@armyspy.com,02.77.54.49.81,82.2,MasterCard,5169431249798367,078,6/2021,"2001 Noble M12"
574,Thorsten,Adler,8/31/1958,"Eichendorffstr. 1",German,ThorstenAdler@fleckens.hu,"07461 66 00 76",102.7,Visa,4929828351219757,280,12/2019,"1998 Lada 110"
588,Clémence,Laisné,5/5/1984,"42 place Maurice-Charretier",French,ClemenceLaisne@cuvox.de,02.88.91.40.54,75.1,Visa,4539547292435304,948,11/2020,"1993 Rolls-Royce Silver Spur"
576,Jessika,Hoover,4/14/1954,"Leipziger Strasse 64",German,JessikaHoover@gustr.com,"0641 29 79 53",80.2,Visa,4556947974008916,166,6/2020,"1992 Beijing BJ 212"
592,Patrick,Jobin,1/17/1993,"7 rue des Nations Unies",French,PatrickJobin@einrot.com,02.67.37.40.78,77.9,MasterCard,5402143316596569,370,1/2017,"2005 Toyota Stallion"
578,Mario,Feierabend,4/27/1974,"Heinrich Heine Platz 38",German,MarioFeierabend@gustr.com,"03623 91 59 16",83.7,MasterCard,5133293294744677,993,2/2020,"2009 BMW 530"
593,Jacques,Dastous,6/1/1983,"65 Rue Frédéric Chopin",French,JacquesDastous@dayrep.com,01.45.27.72.11,64.8,MasterCard,5267378024281385,309,2/2019,"2009 Fiat Doblo"
584,Birgit,Baer,1/6/1940,"Straße der Pariser Kommune 25",German,BirgitBaer@jourrapide.com,"0221 29 61 75",66.1,MasterCard,5231732389051770,236,2/2019,"2003 Mitsubishi Endeavor"
596,Auda,Devoe,10/30/1982,"56 boulevard de Prague",French,AudaDevoe@armyspy.com,04.28.59.20.37,83.5,MasterCard,5437147830510419,752,3/2018,"2012 Land Rover Range Rover Sport"
585,Franziska,Biermann,3/31/1997,"Stresemannstr. 50",German,FranziskaBiermann@teleworm.us,"06853 54 94 43",51.8,Visa,4539122076344203,817,10/2017,"2001 Mahindra Bolero"
597,Élise,St-Pierre,10/5/1998,"61 route de Lyon",French,EliseSt-Pierre@jourrapide.com,02.85.49.01.47,73.0,Visa,4716465696849746,516,1/2018,"1999 Land Rover Range Rover"
587,Anke,Fuhrmann,1/5/1933,"Wallstrasse 22",German,AnkeFuhrmann@teleworm.us,"02646 55 23 57",91.7,Visa,4556948046057162,738,10/2019,"1997 Mercedes-Benz A"
598,Xavierre,Quenneville,3/31/1978,"47 rue Sadi Carnot",French,XavierreQuenneville@fleckens.hu,01.18.06.31.62,57.8,Visa,4532000991597377,838,7/2020,"2006 Maserati Quattroporte"
